TORNEO DE TENIS LA ACADEMIA MG 2026,,,,,,,
,,,,,,,
ETAPA 3: JUNIO JULIO 2026,,,,,,,
,,,,,,,
Categoría:,SINGLES CABALLEROS - D,,,,,,
,,,,,,,
"Formato de juego: Los partidos serán al mejor de 3 sets sin ventaja, donde el tercer set se jugará un super tie break a llegar a 10 puntos. (SIN DIFERENCIA DE DOS PUNTOS)",,,,,,,
,,,,,,,
Player,Ronda 32,Ronda 16,Ronda 8,Cuartos,Semi,Final,Campeon
1,B. Brun,,,,,,
A. Sosa,,,,,,,
F. Kachele,,,,,,,
,,,,,,,
,M. Martinez,,,,,,
,,,,,,,
4,A. Santilli,,,,,,
,,,,,,,
5,G. Decastro,,,,,,
,,,,,,,
6,J. Montano,,,,,,
,,,,,,,
7,P. Verdier,,,,,,
,,R. Coore,,,,,
8,R. Coore,Wo. ,,,,,
,,,,,,,
,M. Kahn,,,,,,
,,M. Kahn,,,,,
10,M. Patrone,6-4 5-7 10-5,,,,,
,,,,,,,
11,S. Amosa,,,,,,
,,,,,,,
12,L. Muznicks,,,,,,
,,,,,,,
13,N. Regueira,,,,,,
,,,,,,,
14,A. Gubitosi,,,,,,
,,,,,,,
15,S. Faccin,,,,,,
,,D. Torres,,,,,
16,D. Torres,6-3 6-2,,,,,
,,,,,,,
17,D. Kan,,,,,,
,,F. Echavarria,,,,,
18,F. Echevarria,6-4 6-2,,,,,
,,,,,,,
19,F. Medeiros,,,,,,
,,,,,,,
20,C. Pintos,,,,,,
,,,,,,,
21,A. Paiva,,,,,,
,,A. Paiva,,,,,
22,W. Gotlieb,2-1 Ret. ,,,,,
,,,,,,,
23,S. Maidana,,,,,,
,,S. Maidana,,,,,
24,D. Briosso,2-6 6-2 10-6,,,,,
,,,,,,,
25,A. Bodajian,,,,,,
,,,,,,,
26,H. Lanza,,,,,,
,,,,,,,
27,N. Duran,,,,,,
,,,,,,,
28,M. Bonomi,,,,,,
,,,,,,,
29,D. Motter,,,,,,
,,,,,,,
30,A. Mendez,,,,,,
,,,,,,,
31,S. Yavarone,,,,,,
,,S. Yavarone,,,,,
32,F. Martinez,6-3 6-2,,,,,
,,,,,,,
33,S. Blanco,,,,,,
,,R. Carvallo,,,,,
34,R. Carvallo,6-7 7-5 10-4,,,,,
,,,,,,,
35,M. Maciel,,,,,,
,,,,,,,
36,C. Greanjeans,,,,,,
,,,,,,,
37,M. Godoy,,,,,,
,,,,,,,
E. Dorrego,,,,,,,
Ale. Rodriguez,,,,,,,
39,L. Perez,,,,,,
,,,,,,,
40,J. Camou,,,,,,
,,,,,,,
41,F. Amodeo,,,,,,
,,,,,,,
42,N. Fernandez,,,,,,
,,,,,,,
43,S. Mateo,,,,,,
,,,,,,,
44,M. Meneses,,,,,,
,,,,,,,
45,C. Lopez,,,,,,
,,,,,,,
46,N. Slinger,,,,,,
,,,,,,,
47,A. Segade,,,,,,
,,A. Segade,,,,,
48,G. Chiara,6-1 6-0,,,,,
,,,,,,,
49,A. Colloca,,,,,,
,,,,,,,
50,N. Presa,,,,,,
,,,,,,,
51,M. Bianchi,,,,,,
,,,,,,,
52,K. Winarski,,,,,,
,,,,,,,
53,E. Salazar,,,,,,
,,M. Basaitegui,,,,,
54,M. Basaitegui,6-2 6-3,,,,,
,,,,,,,
55,M. Otero,,,,,,
,,,,,,,
56,M. Varela,,,,,,
,,,,,,,
57,N. Blanco,,,,,,
,,,,,,,
58,V. Nuñez,,,,,,
,,,,,,,
59,L. Ivan,,,,,,
,,,,,,,
60,A. Rodriguez,,,,,,
,,,,,,,
61,L. Fernandez,,,,,,
,,,,,,,
62,D. Arancibia,,,,,,
,,,,,,,
63,J. Rosales,,,,,,
,,,,,,,
64,L. Perrou,,,,,,
,,,,,,,
,,,,,,,
,,,,. ,,,
