TORNEO DE TENIS LA ACADEMIA MG 2026,,,,,,,
,,,,,,,
ETAPA 3: JUNIO JULIO 2026,,,,,,,
,,,,,,,
Categoría:,SINGLES CABALLEROS - D,,,,,,
,,,,,,,
"Formato de juego: Los partidos serán al mejor de 3 sets sin ventaja, donde el tercer set se jugará un super tie break a llegar a 10 puntos. (SIN DIFERENCIA DE DOS PUNTOS)",,,,,,,
,,,,,,,
Player,Ronda 32,Ronda 16,Ronda 8,Cuartos,Semi,Final,Campeon
1,B. Brun,,,,,,
,,F. Kachele,,,,,
F. Kachele,F. Kachele,Wo. ,,,,,
A. Sosa,6-1 6-1,,F. Kachele,,,,
3,M. Martinez,,6-1 6-3,,,,
,,M. Martinez,,,,,
4,A. Santilli,6-0 6-4,,,,,
,,,,G. Decastro,,,
5,G. Decastro,,,4-6 7-5 10-8,,,
,,G. Decastro,,,,,
6,J. Montano,6-4 6-3,,,,,
,,,G. Decastro,,,,
7,P. Verdier,,6-4 6-3,,,,
,,R. Coore,,,,,
8,R. Coore,Wo. ,,,,,
,,,,,D. Torres,,
9,M. Kahn,,,,6-4 6-1,,
,,M. Kahn,,,,,
10,M. Patrone,6-4 5-7 10-5,,,,,
,,,S. Amosa,,,,
11,S. Amosa,,7-5 5-7 10-4,,,,
,,S. Amosa,,,,,
12,L. Muznicks,2-6 6-2 10-4,,,,,
,,,,D. Torres,,,
13,N. Regueira,,,2-6 6-1 10-7,,,
,,A. Gubitosi,,,,,
14,A. Gubitosi,Wo. ,,,,,
,,,D. Torres,,,,
15,S. Faccin,,6-1 6-3,,,,
,,D. Torres,,,,,
16,D. Torres,6-3 6-2,,,,,
,,,,,,,
17,D. Kan,,,,,,
,,F. Echavarria,,,,,
18,F. Echevarria,6-4 6-2,,,,,
,,,F. Echevarria,,,,
19,F. Medeiros,,6-3 7-5,,,,
,,C. Pintos,,,,,
20,C. Pintos,6-1 6-1,,,,,
,,,,F. Echavarria,,,
21,A. Paiva,,,Wo. ,,,
,,A. Paiva,,,,,
22,W. Gotlieb,2-1 Ret. ,,,,,
,,,S. Maidana ,,,,
23,S. Maidana,,Wo. ,,,,
,,S. Maidana,,,,,
24,D. Briosso,2-6 6-2 10-6,,,,,
,,,,,,,
25,A. Bodajian,,,,,,
,,A. Bodajian,,,,,
26,H. Lanza,6-4 0-6 10-9,,,,,
,,,A. Bodajian,,,,
27,N. Duran,,6-1 6-2,,,,
,,N. Duran,,,,,
28,M. Bonomi,6-2 6-4,,,,,
,,,,A. Bodajian,,,
29,D. Motter,,,4-6 6-1 10-2,,,
,,A. Mendez,,,,,
30,A. Mendez,6-2 6-2,,,,,
,,,A. Mendez,,,,
31,S. Yavarone,,6-3 4-6 10-9,,,,
,,S. Yavarone,,,,,
32,F. Martinez,6-3 6-2,,,,,
,,,,,,,
33,S. Blanco,,,,,,
,,R. Carvalho,,,,,
34,R. Carvallo,6-7 7-5 10-4,,,,,
,,,R. Carvalho,,,,
35,M. Maciel,,Wo. ,,,,
,,C. Greanjeans,,,,,
36,C. Greanjeans,6-4 6-2,,,,,
,,,,R. Carvalho,,,
37,M. Godoy,,,6-0 6-2,,,
,,M. Godoy,,,,,
E. Dorrego,A. Rodriguez,6-3 6-4,,,,,
Ale. Rodriguez,6-2 6-3,,M. Godoy,,,,
39,L. Perez,,Wo. ,,,,
,,L. Perez,,,,,
40,J. Camou,6-4 6-2,,,M. Meneses,,
,,,,,6-4 7-6,,
41,F. Amodeo,,,,,,
,,N. Fernandez,,,,,
42,N. Fernandez,6-4 6-3,,,,,
,,,M. Meneses,,,,
43,S. Mateo,,6-2 6-1,,,,
,,M. Meneses,,,,,
44,M. Meneses,Wo. ,,,,,
,,,,M. Meneses,,,
45,C. Lopez,,,6-2 6-1,,,
,,C. Lopez,,,,,
46,N. Slinger,Wo. ,,,,,
,,,A. Segade,,,,
47,A. Segade,,Wo. ,,,,
,,A. Segade,,,,,
48,G. Chiara,6-1 6-0,,,,,
,,,,,,,
49,A. Colloca,,,,,,
,,A. Colloca,,,,,
50,N. Presa,6-2 6-2,,,,,
,,,K. Winarski,,,,
51,M. Bianchi,,6-4 6-4,,,,
,,K. Winarski,,,,,
52,K. Winarski,6-0 6-3,,,,,
,,,,K. Winarski,,,
53,E. Salazar,,,6-1 6-2,,,
,,M. Basaistegui,,,,,
54,M. Basaitegui,6-2 6-3,,,,,
,,,M. Besaistegui,,,,
55,M. Otero,,6-3 6-2,,,,
,,M. Otero,,,,,
56,M. Varela,Wo. ,,,,,
,,,,,K. Winarski,,
57,N. Blanco,,,,3-6 6-0 10-3,,
,,V. Nuñez,,,,,
58,V. Nuñez,6-0 6-1,,,,,
,,,V. Nuñez,,,,
59,L. Ivan,,6-3 6-2,,,,
,,A. Rodriguez,,,,,
60,A. Rodriguez,6-4 3-6 10-4,,,,,
,,,,V. Nuñez,,,
61,L. Fernandez,,,6-2 6-3,,,
,,L. Fernandez,,,,,
62,D. Arancibia,Wo. ,,,,,
,,,L. Perrou,,,,
63,J. Rosales,,Wo. ,,,,
,,L. Perrou,,,,,
64,L. Perrou,6-3 6-3,,,,,
,,,,,,,
,,,,,,,
,,,,. ,,,
